# name	foreign_files	total_files	top_upstream_owners -- from scripts/audit-deb-contents.py over the full pool, 2026-08-28
alass	1	3	dash
-runtime-dbg-9.0	1	1	abseil-cpp
age	1	3	dash
anewer	1	3	amber
gperf	1	4	forgejo
angband	1	88	dash
gst-plugins-base-static	1	1	libstemmer-static
aptly-static	1	1	argon2-static
amfora	1	3	dash
gdb-static	1	2	cfengine-static
wavpack	1	9	dash
doctest	1	13	dash
discount	1	9	discordo
direvent	1	5	dash
diskus	1	2	dash
ccrypt	1	11	ccextractor
cgdb	1	4	dash
cavez-of-phear	1	17	dash
convertlit	1	2	dash
ccls-static	1	1	gpac-static
codecrypt	1	3	dash
cmark	1	12	dash
crawl-static	1	1	tidy-static
carapace	1	2	dash
ckermit	1	5	cicada
ccextractor	1	2	dash
chicken-static	1	2	jsoncpp-static
choose	1	2	cargo-leptos
ctags	1	47	dash
cmus	1	37	dash
cga-ri	1	1	cgal
l	1	1	ruby-ri
elipeak	1	1	elixir
etsh	1	22	teleport-tsh
eighird-party	1	1	eigen
bsd-finger	1	7	broot
b3sum	1	3	axel
base16384	1	6	dash
binutilpletion	1	1	binutils-cross
broot-static	1	1	botan3-static
blueprint-compiler	1	75	dash
babl	1	43	dash
borgbackup	1	100	dash
binwalk	1	3	dash
frei0r-plugins	1	167	dash
fennel	1	7	dash
fastmod	1	2	dash
tdb-tools	1	9	dash
tidy	1	9	dash
2048-c	1	2	dash
libtasn1	1	52	dash
libotr	1	35	dash
libwpg-static	1	3	liboggz
librasqal	1	9	dash
libsoundtouch	1	13	dash
plutolang	1	3	dash
pygobject	1	34	bmon
librime	1	16	dash
libnfc-static	1	4	libpopt-static
liborc	1	42	dash
libsigsegv-static	1	4	libshout-static
libsecret-static	1	2	libsecp256k1-static
libpano13	1	42	dash
libblocksruntime	1	2	libobjc2
libnftnl	1	16	dash
libsasl	1	59	dash
libnet	1	11	dash
libpluto-static	1	2	libpngwriter-static
libibdart	1	1	dcmtk
libpangomm-1.4	1	61	dash
libvisio	1	11	dash
